"행정구역(시군구)별",2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명)
"문경시",7953,8702,7253,8245,7348,8237,9097,8215,9250,9552,9828,9491
"경산시",35124,35142,35870,35078,36768,35529,36282,34344,38546,37705,43463,38315
"군위군",2375,2085,2376,2087,2559,2538,2226,2054,2125,2422,2113,2026
"의성군",4150,4032,3976,3841,4386,4213,4587,4320,4484,4669,3992,4054
"청송군",2351,2240,2213,2261,2223,2280,2219,2248,2448,2496,2099,2238
"영양군",1298,1325,1125,1203,1239,1202,1243,1397,1212,1306,1142,1188
"영덕군",3617,3399,3154,3313,3302,3318,3002,3401,3027,3665,2977,3384
"청도군",4533,4310,4417,4206,4631,4450,4532,4224,4237,4347,4415,4139
"고령군",3108,3309,2987,3281,2830,3371,2695,3079,2904,3596,2671,2987
"성주군",4936,4535,4639,4441,4910,5065,4437,4775,4760,5016,4071,4110
"칠곡군",13277,13552,11530,14170,11339,13568,11112,12854,11949,13946,11548,11829
"예천군",5814,3976,8013,4501,9773,5413,7394,5328,7197,6325,5999,5371
"봉화군",2875,2909,2702,2730,2761,2852,2441,2816,2536,2821,2453,2673
"울진군",5366,5269,4743,5221,4540,5180,5008,5448,5054,5271,4646,4950
"울릉군",1599,1729,1683,1658,1632,1739,1462,1649,1249,1762,1394,1486
"경상남도",411952,410180,413179,409200,389714,395524,396251,405561,403339,419997,374782,388485
"창원시",0,0,0,0,0,0,0,0,0,0,0,0
"창원시",122663,132606,125960,135131,121912,126990,118972,128791,132567,140425,120887,123957
"울산시",0,0,0,0,0,0,0,0,0,0,0,0
"마산시",0,0,0,0,0,0,0,0,0,0,0,0
"진주시",47115,45458,43080,43338,44035,44758,48436,46973,50419,49242,43575,43555
"진해시",0,0,0,0,0,0,0,0,0,0,0,0
