시점,행정구역(시군구)별,성별,계,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2021,무안군,여자,43958.5,2148,2069.5,2131,3140.5,2469.5,2175.5,2147.5,3541.5,1948,1593.5,1065,417,95,16.5
2021,함평군,계,31422,1313.5,1092,899,1058.5,2703,2518,2488.5,4023.5,2331,1692.5,1178,416.5,88,10
2021,함평군,여자,15618.5,569,412.5,410,496,1355,1350.5,1547,2847,1569,1278,879,313,76,10
2021,영광군,계,52184.5,2497,2317.5,2225,2472.5,3777.5,3637.5,3384,4660.5,2767,1893.5,1340.5,429.5,101.5,22
2021,영광군,여자,26122,1056.5,1037,1092,1184,1940.5,1965,2029,3286,1858.5,1427.5,984,329.5,92,22
2021,장성군,계,43636.5,1965.5,2102,1555,1934.5,3265.5,3039,2756,4325.5,2452.5,1873,1352.5,410.5,96,14
2021,장성군,여자,21264.5,830,815,729.5,897,1596,1614.5,1618.5,2985,1613.5,1371.5,966.5,316.5,76.5,12
2021,완도군,계,49051,1991,1662,1523,2256.5,3848,3774.5,3575.5,5107,3058.5,2048.5,1437,481,114,16.5
2021,완도군,여자,24378.5,826.5,684,702.5,1026.5,1927,1999,2081.5,3559,2004.5,1554.5,1056,383.5,100.5,14.5
2021,진도군,계,30477,1380.5,1167,951,1231,2329,2317,2300,3372,2029.5,1342.5,955,314.5,63.5,9.5
2021,진도군,여자,15387.5,584.5,483.5,459.5,547,1171.5,1207.5,1432.5,2418,1371.5,1046.5,726,257.5,53.5,9.5
2021,신안군,계,38280.5,1374,1269.5,1120.5,1425.5,3459,3188,3095,4540,2702.5,1837.5,1328.5,408,91.5,9.5
2021,신안군,여자,17837,559,477.5,429.5,501,1613,1591.5,1829,3230.5,1818.5,1412,1002.5,330,74.5,5
2021,경상북도,계,2619827.5,142350,136969,127660,155956,182997.5,134621.5,107183.5,157202.5,88611.5,68591,48880.5,15978.5,3241.5,490.5
2021,경상북도,여자,1300116,62364.5,58758,57671.5,74426,93695.5,70296,63107.5,108026.5,57419,50607.5,34834.5,12610.5,2718,444.5
